# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: OP1
# Creation date: 09/28/2024 10:04:58
# 
# 09/28/2024 10:04:58
# The parameters defined in the project are:
# ,P1 - $length_between_row [mm],P2 - $move_r [mm],P3 - mean,P4 - dif
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 33,2.175,8.5999999999999979,0.0922940218920737,0.013867384047153561
DP 34,4.325,18.2,0.051461114728856353,0.0052227634534790651
DP 35,2.8249999999999997,33,0.02818268812600197,0.0029245214520228768
DP 36,4.8249999999999993,13,0.065180537651960774,0.0063209196562598428
DP 37,2.7750000000000004,24.6,0.040240070410219549,0.0045857293564491074
DP 38,3.025,11.399999999999999,0.076185811643548068,0.009615369156804443
DP 39,3.525,19.4,0.049948087380325489,0.0056138404663625234
DP 40,1.875,21.8,0.046958368022749428,0.0062768940925122113
DP 41,2.425,31,0.030865397983288589,0.0034391176501167992
DP 42,4.525,10.600000000000001,0.074718146076700423,0.0076963705261154369
DP 43,0.125,36.6,0.025732233898147449,0.00314379608541201
DP 44,0.625,38.2,0.023990820258720558,0.002766024921376987
DP 45,1.275,7.8000000000000007,0.1006645316596424,0.017692094046666381
DP 46,4.6750000000000007,31.8,0.028275459163973261,0.00256794271572176
DP 47,1.4749999999999999,35.8,0.025956499376447291,0.0029666463491886028
DP 48,3.225,15,0.062613822383261478,0.007296087260450685
DP 49,4.0749999999999993,39.4,0.02150777043354379,0.0019122020098391881
DP 50,0.925,34.6,0.027504487838112351,0.0032853040458879321
DP 51,4.425,28.599999999999998,0.032385420883853037,0.003031768883598351
DP 52,2.475,13.4,0.069978917019541245,0.009173040407167217
DP 53,2.0250000000000004,6.2000000000000011,0.1070264534943962,0.018990811901549789
DP 54,2.375,15.4,0.063303464991391958,0.0086323014526917853
DP 55,4.475,20.2,0.046644770538735329,0.0045020064295289153
DP 56,1.3250000000000002,30.2,0.032740059254949022,0.0040196025204645566
DP 57,2.275,39,0.022597196409112778,0.002363840627318228
DP 58,2.875,1.4000000000000021,0.1385397065172109,0.096868501351389538
DP 59,2.9749999999999996,29,0.033077743078988732,0.003580492651029442
DP 60,0.22500000000000009,29.4,0.0346903303515058,0.0048061449456381156
DP 61,2.325,2.6000000000000014,0.1318805540151978,0.0493444831898186
DP 62,0.47499999999999964,27.799999999999997,0.037016393330452153,0.0052143880237351626
DP 63,1.7249999999999999,17.8,0.057322009206277842,0.0080021722912691842
DP 64,1.775,0.19999999999999929,0.15996954439811231,0.1784762572591955
DP 65,2.125,19,0.0533343008825775,0.0069435903073275344
DP 66,3.125,7.4,0.0947466479184676,0.01414135203659839
DP 67,2.225,23.4,0.043162829362854677,0.0053323905871820489
DP 68,1.225,26.6,0.038359946071646341,0.00527598293307582
DP 69,0.875,5.4,0.11878326041279839,0.02686151896646111
DP 70,4.625,16.200000000000003,0.056034320102500319,0.0054021483090351263
DP 71,3.375,26.200000000000003,0.036891444838208151,0.0039894071159964394
DP 72,3.825,17,0.05546667137058673,0.0059323962727648033
DP 73,0.024999999999999911,23.799999999999997,0.044971254703204983,0.00680714237894111
DP 74,0.82500000000000018,22.599999999999998,0.046598848785889817,0.006910181063951179
DP 75,2.625,35.4,0.025737824303701421,0.002620789305228844
DP 76,4.025,0.60000000000000142,0.13752312840387959,0.13751715081845989
DP 77,3.2750000000000004,32.599999999999994,0.028325779831227811,0.0027620741966685979
DP 78,1.975,28.2,0.035119708021340422,0.0042467331240078551
DP 79,3.975,21.400000000000002,0.04486208032147055,0.00461723703014498
DP 80,3.075,38.599999999999994,0.022570260087919479,0.002148327707590303
DP 81,4.875,35,0.024837310344137008,0.0021480026256359228
DP 82,2.925,17.4,0.0561465953692027,0.0070016060277855383
DP 83,3.625,29.8,0.0314736691972784,0.0031348014034746391
DP 84,1.925,11.799999999999999,0.077924514577952922,0.011275980185472869
DP 85,1.625,9,0.092390582472715255,0.01499278569585776
DP 86,0.97500000000000009,16.599999999999998,0.062467232151705167,0.009747644826294203
DP 87,0.77500000000000013,31.400000000000002,0.031490856098763058,0.0039245101314265094
DP 88,2.6750000000000003,20.6,0.048502104746750388,0.0058921460883976694
